title,content,thumbnail,category,publish_date_str,author_username
Erick Bicara Rumor Frank de Boer dan Louis van Gaal,"Ketua Umum PSSI Erick Thohir memastikan pihaknya tidak melakukan komunikasi dengan Louis van Gaal atau Frank de Boer terkait pelatih baru Timnas Indonesia pengganti Patrick Kluivert.
Erick menyebut kabar Van Gaal dan Frank de Boer menjadi pelatih baru Timnas Indonesia hanya sekadar rumor belaka, yang semuanya berawal dari media sosial.
""Belum ada [pelatih baru]. Nah, ini yang problem juga. Kita itu sudah hoaks. Van Gaal lah, Frank De Boer. Itu yang saya bilang, ekosistemnya kita jadi jelek, karena media juga terpengaruh,"" ucap Erick di Jakarta, Kamis (23/10).
Rumor Louis van Gaal menjadi pelatih baru Timnas Indonesia muncul setelah mantan pelatih timnas Belanda itu disebut akan menggelar konferensi pers penting pada Senin (20/10).
Konferensi pers itu kemudian berkembang menjadi isu liar bahwa Van Gaal akan diumumkan sebagai pelatih Timnas Indonesia. Namun, Van Gaal ternyata hanya mengumumkan sebuah kegiatan amal yang sedang dijalaninya di Belanda.
Hal yang sama juga berlaku untuk Frank de Boer. Erick memastikan pihak PSSI tidak pernah menghubungi atau menjadikan Frank de Boer sebagai calon pelatih baru Timnas Indonesia.
""Ya, kan persepsi yang dibangun netizen. Padahal belum tentu benar. Misalnya, 'Van Gaal, Van Gaal!'. Saya ketawa-tawa saja, begitu dia umumin senin, nah orang dia umumin hal lain.""
""Ini yang harus kita perbaiki. Frank de Boer sudah pasti tidak, karena saya juga belum kontak, kepikiran juga tidak,"" kata Erick menambahkan.
Lebih lanjut Erick memastikan PSSI belum memilih pelatih baru untuk Timnas Indonesia. Erick mengatakan ada banyak hal yang menjadi pertimbangan sebelum menunjuk pelatih baru.
""Kita kan lagi mencari profil, yang dengan segala pertimbangan, kita lihat Shin Tae Yong, kita lihat Patrick [Kluivert], kekurangan dan kelebihan apa, kalau bisa dibetulin di pelatih berikutnya. Kedua pelatih itu sudah masa lalu. Jadi kita harus moving forward, mencari pelatih baru,"" ujar Erick.
""Baru besok [Jumat] bertemu direktur teknik [Alexander Zwiers]. Yang namanya penentuan pelatih Timnas itu kita ada BTN dan Dirtek, baru nanti digetok di Exco. Jadi bukan Exco yang menyaring, kan yang menyaring ada BTN. Jadi BTN dan Dirtek,"" sambungnya.",https://akcdn.detik.net.id/visual/2025/01/07/fbl-wc-2014-match59-ned-crc-1_169.jpeg?w=650&q=90,sepakbola,"Jumat, 24 Okt 2025 13:23 WIB",CNN Indonesia
Komisi X DPR: IOC Perlu Objektif dan Tak Pakai Standar Ganda,"Ketua Komisi X DPR Hetifah Sjaifudian mendesak Kemenpora diplomasi dengan IOC setelah sanksi terkait penolakan atlet Israel di Kejuaraan Dunia Senam 2025.Jakarta.
Hetifah menilai IOC mestinya bersikap objektif dan tidak menerapkan standar ganda terhadap sikap Indonesia yang ingin menegakkan nilai-nilai kemanusiaan atas sikap Israel di Gaza.
""IOC juga perlu bersikap objektif dan tidak menerapkan standar ganda terhadap negara yang berupaya menegakkan nilai-nilai kemanusiaan,"" kata Hetifah dalam keterangannya, Jumat (24/10).
Menurut Hetifah, kebijakan Indonesia dengan tak mengeluarkan visa bagi enam atlet Israel berlandaskan kedaulatan nasional dan politik luar negeri bebas aktif yang menolak segala bentuk penjajahan.
""Sikap Indonesia bukan bentuk diskriminasi terhadap atlet, melainkan konsistensi moral bangsa dalam memperjuangkan kemanusiaan dan solidaritas terhadap rakyat Palestina,"" kata dia.
Namun, untuk menjembatani posisi Indonesia sebagai anggota IOC sekaligus pendukung perjuangan Palestina, Hetifah menilai perlu ditempuh jalur diplomasi yang terbuka dan konstruktif.
Komisi X DPR, kata Hetifah, akan tetap menjalankan fungsi pengawasan dan siap meminta penjelasan dari Kemenpora serta KOI dalam forum resmi. Ia meyakini pemerintah akan mengambil langkah diplomatis yang cermat untuk menjaga kehormatan Indonesia di dunia olahraga.
""Indonesia harus mampu memisahkan urusan olahraga dari politik tanpa mengorbankan nilai kemanusiaan dan konstitusional,"" katanya.
IOC dianggap menerapkan standar ganda atas penolakan atlet Israel bertanding. IOC menghukum Rusia lantaran melakukan argresi militer ke Ukraina, namun tidak ada sanksi untuk Israel yang menginvasi Palestina. Belakangan malah Indonesia yang kena dampak.
Setelah enam atlet Israel tak bisa tampil di Kejuaraan Dunia Senam 2025 di Jakarta, IOC kemudian mengambil keputusan mengakhiri seluruh komunikasi dengan Komite Olimpiade (NOC) Indonesia atau KOI terkait penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade lainnya, atau konferensi di masa mendatang.
Untuk membuka kembali komunikasi terkait Olimpiade, IOC meminta Indonesia bisa memberikan jaminan yang memadai dan memberikan akses ke Indonesia bagi semua atlet tanpa memandang kewarganegaraan.",https://akcdn.detik.net.id/visual/2025/10/23/markas-komite-olimpiade-internasional-ioc-1761205805492_169.jpeg?w=650&q=90,olahraga lain,"Jumat, 24 Okt 2025 12:51 WIB",CNN Indonesia
Erick soal Keputusan IOC: Yang Penting Atlet RI Bisa Main di Luar,"Menpora Erick Thohir tidak terlalu khawatir dengan keputusan Komite Olimpiade Internasional (IOC) yang melarang Indonesia menjadi tuan rumah Olimpiade dan turunannya.
IOC memutuskan untuk membekukan segala bentuk komunikasi dengan Komite Olimpiade Indonesia (KOI) terkait peluang menjadi tuan rumah Olimpiade dan ajang multi-cabang turunan di bawah IOC.
IOC juga meminta seluruh federasi olahraga internasional untuk tidak menggelar pertandingan atau kejuaraan dunia di Indonesia.
Keputusan itu diambil IOC untuk merespons keputusan pemerintah Indonesia yang membatalkan visa enam atlet senam Israel untuk berlaga pada Kejuaraan Dunia Senam 2026 di Jakarta.
Erick mengatakan keputusan untuk membatalkan visa atlet Israel di Kejuaraan Dunia Senam 2025 merupakan keputusan yang tepat.
""Nah makanya [setelah] mereka [Persani] kirim surat minta pencabutan visa, ada suratnya ya. Karena ada pencabutan, lalu pemerintah merapatkan, akhirnya sepakat ini tidak bisa. Makanya terus saya diskusi dengan beberapa menteri. Nah dengan issue security, mereka semua sepakat,"" ucap Erick di Jakarta, Kamis (23/10).
""Terus IOC kirim surat ke KOI, ke Okto [Ketua KOI Raja Sapta Oktohari], bahwa tidak bisa [membatalkan visa atlet Israel]. Dan saya tetap pada posisi saya, karena lebih bahaya [situasinya]. Akhirnya, ya KOI juga mendukung, pak Okto berangkat ke luar negeri bersama beberapa orang mereka,"" ujar Erick.
Lebih lanjut Erick mengatakan sebelum IOC mengambil keputusan untuk membekukan Indonesia dari pembicaraan menjadi tuan rumah Olimpiade, Erick sudah mengungkap kemungkinan terburuk yang bisa dialami Indonesia.
Namun, 'kemungkinan terburuk' yang ditakuti Erick, yakni atlet Indonesia dilarang bertanding di luar negeri, tidak terjadi. Erick pun menganggap olahraga Indonesia dalam posisi 'oke' setelah keputusan IOC.
""Tapi saya juga sudah lapor ke pemerintah, yang terburuk adalah kita tidak bisa ikut Olimpiade. Kalau saya tuan rumah [Olimpiade] sih tidak terlalu ini, yang tidak bisa [terjadi] kan, tidak bisa ikut Olimpiade. Sudah dijawab [IOC], kita tetap bisa [ikut Olimpiade],"" ujar Erick.
""Untuk yang Kejuaraan Dunia, IOC hanya merekomendasi [federasi internasional], untuk tidak ada Kejuaraan Dunia di Indonesia. Kalau menurut saya, posisi itu oke, yang penting [atlet Indonesia] bisa bermain di luar,"" kata Erick menambahkan.",https://akcdn.detik.net.id/visual/2025/10/24/menpora-erick-thohir-1761280465245_169.jpeg?w=650&q=90,olahraga lain,"Jumat, 24 Okt 2025 11:41 WIB",CNN Indonesia
"Hasil FP1 MotoGP Malaysia: Fermin Aldeguer Tercepat, Marquez Crash","Fermin Aldeguer berhasil menjadi yang tercepat pada sesi latihan bebas pertama atau FP1 MotoGP Malaysia 2025, Jumat (24/10). Sementara Alex Marquez alami kecelakaan.
Sesi latihan yang berlangsung di Sirkuit Sepang sempat terhenti lebih awal akibat hujan deras yang turun mendadak.
Aldeguer berhasil unggul 0,256 detik dari pembalap pabrikan Ducati, Francesco Bagnaia, ketika hujan mengguyur sirkuit dengan sisa waktu sepuluh menit.
Bagnaia, yang tampak memiliki dua motor GP25 dengan spesifikasi berbeda, mengawali sesi dengan baik dengan motor yang dianggap sebagai motor spesifikasi 'lama'. Motor ini sudah digunakan sejak Motegi. Namun, catatan waktunya masih tertinggal beberapa detik dari rekor tercepat.
Aldeguer dan Bagnaia menggunakan ban medium di depan dan belakang, diikuti oleh Joan Mir dari Honda dan Pol Espargaro dari KTM yang menggunakan ban hard depan-medium belakang.
Pembalap andalan Aprilia, Marco Bezzecchi, naik ke posisi kelima tepat sebelum hujan deras, mengungguli Luca Marini dari HRC.
Sedangkan Alex Marquez, yang sedang berusaha menyegel posisi kedua di klasemen akhir, mengalami crash di Tikungan 7. Kecelakaan itu terjadi pada pertengahan balapan dan harus puas finis di posisi ketujuh.
Pembalap Yamaha Fabio Quartararo dan Jack Miller, yang mengalami masalah teknis dan kecelakaan, dan Pedro Acosta melengkapi sepuluh besar.
Sementara peraih podium pertama MotoGP Australia 2025, Raul Fernandez, hanya mengakhiri latihan bebas pertama di posisi ke-19.
1. Fermin Aldeguer2. Francesco Bagnaia3. Joan Mir4. Pol Espargaro5. Marco Bezzecchi6. Luca Marini7. Alex Marquez8. Fabio Quartararo9. Jack Miller10. Pedro Acosta",https://akcdn.detik.net.id/visual/2025/10/05/fermin-aldeguer-juara-motogp-indonesia-2025-1759665673154_169.jpeg?w=650&q=90,moto gp,"Jumat, 24 Okt 2025 11:37 WIB",CNN Indonesia
Hodak: Persib Layak Bungkam Selangor,"Pelatih Persib Bandung Bojan Hodak buka suara usai meraih kemenangan 2-0 atas Selangor FC pada matchday 3 Grup G AFC Champions League Two 2025/2026, Kamis (23/10).
Dua gol kemenangan Persib dicetak Adam Alis Setyano menit ke-29 dan Andrew Jung melalui titik penalti di menit ke-66.
Pelatih Persib, Bojan Hodak memuji kerja keras tim yang mampu mempertahankan keunggulan hingga peluit panjang dibunyikan di Stadion Gelora Bandung Lautan Api.
""Kami layak menang. Saya pikir kami bermain lebih baik hari ini. Kami bermain sangat baik di 30 menit awal. Setelah kami mencetak gol mungkin lawan mencoba untuk mengejar,"" kata Hodak dalam konferensi pers setelah pertandingan.
Setelah unggul 1-0, Hodak menilai lini bertahan Persib sempat membuka celah yang berbuah ancaman dari lawan.
""Kami lebih fokus untuk bertahan dan mereka tidak punya peluang yang berbahaya. Babak kedua kami tidak memulai dengan baik, kami memberi mereka satu dua peluang,"" katanya.
Hodak mengingatkan kemenangan dari Selangor FC bukan akhir perjuangan. Meski memimpin klasemen dengan nilai tujuh, Persib masih harus mencari kemenangan untuk memastikan lolos ke babak selanjutnya.
""Kami memiliki tujuh poin. Namun, semuanya belum ada yang benar-benar menentukan nasibnya. Jadi semua masih bisa mengalahkan. Saya hanya berharap, kami bisa melanjutkan ini,"" pungkasnya.",https://akcdn.detik.net.id/visual/2024/09/19/bojan-hodak_169.jpeg?w=650&q=90,sepakbola,"Jumat, 24 Okt 2025 11:16 WIB",CNN Indonesia
Erick Thohir: Kita Harus Move On dari Kluivert dan STY,"Ketua Umum PSSI Erick Thohir meminta fans Timnas Indonesia untuk move on dari Patrick Kluivert dan Shin Tae Yong. Erick mengaku PSSI belum menentukan pelatih baru Timnas Indonesia.
""Kalau saya pikir gini. Kita kan mesti move on. Kalau kita move on sama Patrick, ya kita juga move on sama Shin Tae Yong,"" ujar Erick di Jakarta, Kamis (23/10).
Setelah PSSI mengakhiri kerja sama dengan Patrick Kluivert dan tim pelatih asal Belanda, 16 Oktober lalu, sejumlah nama pelatih disebut-sebut memiliki peluang menjadi pelatih baru Timnas Indonesia.
Salah satu nama pelatih yang menjadi favorit sebagian netizen adalah Shin Tae Yong. Terlebih pelatih asal Korea Selatan itu sudah menyatakan kesediaan untuk kembali melatih Tim Garuda.
Erick mengatakan Shin Tae Yong dan Patrick Kluivert memiliki kekurangan dan kelebihan yang harus bisa dimanfaatkan oleh pelatih baru Timnas Indonesia.
""[Kedua pelatih] itu sudah masa lalu. Jadi kita harus moving forward, mencari pelatih baru, yang kita melihat kekurangan dan kelebihan STY maupun Patrick.""
""Kita kan lagi mencari profil, yang dengan segala pertimbangan, kita lihat STY, kita lihat Patrick, kekurangan dan kelebihan apa, kalau bisa dibetulin di pelatih berikutnya,"" kata Erick menambahkan.
Lebih lanjut Erick memastikan PSSI belum menunjuk pelatih baru untuk Timnas Indonesia, Timnas U-23, dan Timnas U-20. Erick mengatakan Komite Eksekutif PSSI baru akan menentukan pelatih baru usai bertemu dengan Badan Tim Nasional dan Direktur Teknik Alexander Zwiers.
""Siapa pelatihnya? Ya belum tahu. Baru besok [Jumat] bertemu direktur teknik. Yang namanya penentuan pelatih Timnas itu kita ada BTN dan Dirtek, baru nanti digetok di Exco. Jadi bukan Exco yang menyaring, kan yang menyaring ada BTN. Jadi BTN dan Dirtek,"" ucap Erick.",https://akcdn.detik.net.id/visual/2025/01/12/erick-thohir-dan-patrick-kluivert-1_169.jpeg?w=650&q=90,sepakbola,"Jumat, 24 Okt 2025 10:45 WIB",CNN Indonesia
"Absen di Sisa MotoGP 2025, Kapan Marc Marquez Comeback?","Musim Marc Marquez di MotoGP 2025 dipastikan berakhir setelah Ducati mengumumkan The Baby Alien absen hingga MotoGP Valencia. Kapan Marquez akan kembali membalap?
""Marc Marquez sudah menjalani pemeriksaan medis terbaru, dan dokter mengonfirmasi pembalap Spanyol itu tidak akan dapat kembali ke lintasan untuk balapan di Grand Prix Portugal, Grand Prix Valencia, dan tes di Sirkuit Valencia pada 18 November,"" demikian pernyataan resmi Ducati, Kamis (23/10).
Tim dokter yang menjalani operasi dan merawat Marquez melaporkan bahwa proses penyembuhan juara dunia MotoGP 2025 ini berjalan normal.
Namun, Marquez disarankan absen di MotoGP Portugal dan Valencia karena pembalap 32 tahun itu tidak boleh menggerakkan bahu kanan secara berlebihan demi pemulihan yang optimal.
Marc Marquez, yang mengalami cedera bahu kanan karena kecelakaan di MotoG Mandalika 2025, menerima keputusan tim dokter. Pembalap asal Spanyol itu berharap bisa memulai MotoGP 2026 dengan kondisi terbaik.
""Setelah menganalisis semuanya, kami yakin tindakan yang paling tepat, cerdas, dan konsisten adalah menghormati jangka waktu pemulihan cedera, meski itu berarti saya tidak akan bisa lagi tampil musim ini atau menghadiri tes musim dingin.""
""Kita tahu musim dingin yang sulit menanti kita, dengan banyak pekerjaan, untuk memulihkan otot-otot saya 100 persen dan siap untuk musim 2026,"" ucap Marquez menambahkan.
Setelah tes resmi di Sirkuit Valencia pada 18 November, jadwal terdekat bagi Marquez untuk kembali beraksi di atas trek adalah tes yang berlangsung di Sirkuit Sepang, Malaysia.
Jika pemulihan berjalan lancar, maka Marc Marquez akan tampil di Tes Sepang pada 3-5 Februari 2026. Sebelum itu akan ada shakedown tes di Sepang untuk beberapa pembalap pada 29-31 Januari 2026.
Andai Marquez belum fit untuk Tes Sepang, maka The Baby Alien bisa menjalani tes di Sirkuit Buriram, Thailand, pada 21-22 Februari. Balapan pertama MotoGP 2026 akan berlangsung di Thailand pada 1-2 Maret 2026.
SHAKEDOWN TEST: 29-31 JanuariSEPANG TEST: 3-5 FebruariSEASON LAUNCH: 6-7 FebruariBURIRAM TEST: 21-22 Februari",https://akcdn.detik.net.id/visual/2025/09/30/marc-marquez-bertemu-presiden-prabowo-1759234848080_169.jpeg?w=650&q=90,moto gp,"Jumat, 24 Okt 2025 09:47 WIB",CNN Indonesia
"Rossi Gagal Paham Bagnaia Merosot Drastis, Marquez Dibawa-bawa","Legenda MotoGP Valentino Rossi gagal paham soal merosotnya performa Francesco Bagnaia di MotoGP 2025. Rekan setim Bagnaia, Marc Marquez pun turut disinggung.
Bagnaia hanya meraih dua kemenangan dari 19 seri musim ini. Hasil ini membuat Bagnaia kesulitan memberikan ancaman serius bagi rekan setimnya di Ducati, Marc Marquez, dalam perebutan gelar juara dunia.
Performa Pecco, sapaan akrabnya, naik turun dan membuatnya bertengger di peringkat keempat klasemen MotoGP 2025. Bagnaia baru mengemas 274 poin, tertinggal jauh dari Marc Marquez yang sudah mengunci gelar juara dengan 545 poin.
Berbicara kepada Sky News Italia, Valentino Rossi, mengakui 'tak mengerti' alasan Bagnaia kesulitan bersaing. Padahal Bagnaia merupakan salah satu pembalap tercepat yang ia kenal.
""Pecco adalah juara dunia tiga kali, termasuk satu di Moto2 bersama tim kami. Dia sangat cepat, tapi sayangnya tahun ini dia sedikit kesulitan. Selama tiga tahun terakhir dia selalu berjuang untuk meraih gelar juara dunia,"" kata Rossi.
""Dia menang dua kali, sementara tahun lalu dia kalah di balapan terakhir. Dia telah membuktikan kemampuannya. Tahun ini, karena berbagai alasan, dia belum terlalu nyaman dengan Ducati baru,"" ujar Rossi menambahkan.
Meski demikian, Rossi juga menilai posisi Bagnaia sebagai rekan setim Marquez ikut mempengaruhi hasil negatif musim ini.
""Dia mulai sedikit kesulitan bersama rekan setim yang cepat seperti Marquez. Kami sedang melalui masa sulit, dan kami berusaha membantunya 100 persen, mencoba mencari cara untuk menyelesaikan situasi ini.""
""Kami juga masih belum mengerti apa yang terjadi, tetapi kami yakin Pecco akan kembali ke depan dan berjuang untuk menang lagi,"" tutur Rossi.",https://akcdn.detik.net.id/visual/2022/11/07/perayaan-gelar-juara-dunia-motogp-2022-francesco-bagnaia-1_169.jpeg?w=650&q=90,moto gp,"Jumat, 24 Okt 2025 09:10 WIB",CNN Indonesia
"Verdonk 1 Assist, Jadi Bek Terbaik di Lille vs PAOK","Calvin Verdonk menjadi bek starter dengan penampilan terbaik saat Lille kalah dramatis dari PAOK pada pertandingan ketiga Liga Europa di Stade Pierre Mauroy, Jumat (24/10) dini hari WIB.
Pertahanan Lille hancur lebur di babak pertama saat melawan PAOK. Tuan rumah tertinggal hingga 0-3 di babak pertama, sebelum bangkit di babak kedua. Gol dari Soualiho Meite, Andrija Zivkovic, dan Giannis Konstantelias membuat PAOK unggul tiga gol tanpa balas hingga akhir babak pertama.
Di babak kedua Lille baru bangkit. Bermula dari sepak pojok Verdonk, Lille berhasil mencetak gol pertama melalui sundulan Benjamin Andre pada menit ke-57.
Lille kemudian mencetak gol kedua lewat Hamza Igamane pada menit ke-68. Gol kedua ini juga berawal dari sepak pojok Verdonk. Sayang, PAOK berhasil menambah keunggulan menjadi 4-2 lewat gol kedua Zivkovic.
Lille akhirnya memperkecil kedudukan 3-4 lewat gol kedua Igamane pada menit ke-78. Tuan rumah sebenarnya mampu mencetak gol saat injury time babak kedua lewat Benjamin Andre, tapi gol itu dianulir VAR karena offside.
Verdonk bermain penuh di pertandingan Lille vs PAOK. Bek Timnas Indonesia itu bahkan menjadi starter bek dengan permainan terbaik.
Situs statistik, Fotmob, memberi nilai 6,9 untuk Verdonk. Mantan pemai NEC Nijmegen itu unggul jauh atas Aissa Mandi (5,5), Nathan Ngoy (5,2), dan Tiago Santos (5,7), tiga bek lainnya yang menjadi starter.Sepanjang 90 menit pertandingan, Verdonk mencatatkan statistik: 1 assist, 2 chances created, 2 tekel, 5 clearences, 1 intersep, 6 recoveries dan 92 persen akurasi umpan.
Pelatih Lille, Bruno Genesio, memutuskan untuk menurunkan sejumlah pemain pelapis untuk melawan PAOK. Menurunkan Verdonk, ketimbang bek kiri utama Romain Perraud, menjadi salah satu keputusan terbaik.
Namun, secara keseluruhan Genesio mengaku salah dalam pemilihan pemain. Pelatih asal Prancis itu mengaku bertanggung jawab atas kekalahan dari PAOK.
""Ini kekecewaan besar. Saya menyalahkan diri sendiri. Pilihan saya tidak tepat malam ini. Kita akan meluangkan waktu untuk menganalisis segala sesuatunya dengan lebih tenang,"" ucap Genesio melalui situs resmi Lille.",https://akcdn.detik.net.id/visual/2025/10/24/lille-vs-paok-1761259785618_169.jpeg?w=650&q=90,sepakbola,"Jumat, 24 Okt 2025 08:41 WIB",CNN Indonesia
"Messi Perpanjang Kontrak di Inter Miami, Main Sampai 41 Tahun","Lionel Messi resmi memperpanjang kontrak dengan Inter Miami hingga akhir musim 2028. Perpanjangan kontrak ini membuat Messi akan terus bermain hingga berusia 41 tahun.
""Saya sangat bahagia bisa bertahan di sini dan melanjutkan proyek ini yang, selain menjadi mimpi, tapi kini menjadi kenyataan yang indah - bermain di stadion ini, di Miami Freedom Park. Sejak tiba di Miami, saya sangat bahagia, jadi saya sungguh senang bisa terus bermain di sini,"" ujar Messi dikutip dari laman resmi klub, Jumat (24/10).
Messi bergabung dengan Inter Miami pada 2023 setelah diboyong dari Paris Saint-Germain (PSG). Peraih delapan gelar Ballon d'Or ini berhasil mempersembahkan dua trofi Leagues Cup 2023 dan MLS Supporters Shield 2024.
Dengan resmi memperpanjang kontrak bersama Inter Miami, pemain 38 tahun itu belum menunjukkan tanda-tanda akan pensiun. Jika menyelesaikan kontrak barunya bersama Inter Miami, maka Messi akan terus bermain hingga 41 tahun.
Keputusan memberi kontrak jangka panjang kepada Messi diambil Inter Miami seiring dengan pembangunan stadion baru, Miami Freedom Park, yang dijadwalkan mulai digunakan pada 2026.
Inter Miami berharap Messi akan menjadi bagian penting stadion baru tersebut hingga 2028. Kehadiran Messi sangat penting, terutama untuk mendatangkan sponsor, di saat pihak klub mengeluarkan banyak uang demi membangun stadion baru.
""Visi kami adalah mendatangkan pemain terbaik untuk Inter Miami dan kota ini, dan ternyata kami sudah melakukannya. Kami telah mendatangkan pemain terbaik yang pernah ada untuk bermain di kota ini,"" kata salah satu pemilik Inter Miami, David Beckham.
""Messi tetap memberikan komitmennya seperti pertama kali datang dan dia masih menginginkan kemenangan,"" ucap legenda Manchester United ini menambahkan.
Messi saat ini memimpin daftar top skor MLS dengan torehan 29 gol. Selanjutnya, Inter Miami akan menghadapi Nashville SC di babak pertama playoff MLS yang dimulai pada Sabtu (25/10) pagi WIB.",https://akcdn.detik.net.id/visual/2025/09/14/spo-soc-mls-charlotte-fc-v-inter-miami-cf-1757822026278_169.jpeg?w=650&q=90,sepakbola,"Jumat, 24 Okt 2025 08:10 WIB",CNN Indonesia
