title,content,thumbnail,category,publish_date_str,author_username
5 Tim Masih Catat Poin Sempurna di Liga Champions,"Tiga matchday Liga Champions telah berlalu dan ada lima tim yang masih mempertahankan catatan kemenangan 100 persen.
Real Madrid dan Bayern Munchen menorehkan kemenangan pada Kamis (23/10) dan hal tersebut membuat mereka menyusul Paris Saint-Germain, Inter Milan, dan Arsenal.
Real Madrid berhasil menang tipis 1-0 atas Juventus lewat gol tunggal yang dicetak oleh Jude Bellingham. Sedangkan Bayern Munchen tampil meyakinkan saat melumat Club Brugge dengan skor 4-0.
Dari lima tim yang mencatat poin sempurna, PSG berhak duduk di posisi puncak klasemen. Mereka punya selisih 10 gol dan unggul produktivitas gol atas Bayern Munchen yang ada di posisi kedua,
Inter Milan dan Arsenal yang ada di posisi ketiga dan keempat juga punya keunikan tersendiri. Kedua tim belum kebobolan hingga matchday ketiga dan mencatat 9 dan 8 gol.
Sedangkan Real Madrid ada di peringkat kelima. Selisih gol tipis atas Juventus membuat Madrid tertinggal dari tim-tim dengan nilai sempurna lainnya di matchday ketiga kali ini.
Pada matchday keempat, setidaknya satu tim sudah dipastikan bakal kehilangan status rekor sempurna. Hal itu lantaran PSG akan duel lawan Bayern Munchen.
Real Madrid juga akan menghadapi Liverpool yang jelas merupakan lawan tangguh. Terlebih duel Liverpool vs Madrid akan berlangsung di Anfield.
Sedangkan Inter jadi tim yang berpeluang besar melanjutkan rekor 100 persen menang. Hal itu karena mereka 'hanya' akan menghadapi Kairat di laga kandang.
Arsenal juga tidak menghadapi tim besar di matchday berikutnya. Mereka bakal bertarung lawan tuan rumah Slavia Praha.",https://akcdn.detik.net.id/visual/2025/10/23/real-madrid-vs-juventus-1761179941522_169.jpeg?w=650&q=90,sepakbola,"Kamis, 23 Okt 2025 15:40 WIB",CNN Indonesia
Media Israel: Ambisi Indonesia Gelar Olimpiade 2036 Dibekukan IOC,"Media Israel menyoroti keputusan Komite Olimpiade Internasional (IOC) yang memberi hukuman bagi Indonesia terkait isu pembatalan visa atlet senam Israel di Kejuaraan Dunia Senam 2025.
IOC lewat pernyataan resmi Rabu (22/10), mengungkap empat poin keputusan yang dibuat Dewan Eksekutif IOC untuk Indonesia. Salah satunya, Dewan Eksekutif IOC memutuskan menghentikan semua komunikasi dengan Indonesia terkait bidding tuan rumah ajang Olimpiade dan turunannya.
""Mengakhiri segala bentuk dialog dengan Komite Olimpiade Indonesia [KOI] terkait penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade lainnya, atau konferensi di masa mendatang hingga pemerintah Indonesia memberikan jaminan yang memadai kepada IOC bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan,"" tulis pihak IOC.
Media Israel, The Jerusalem Post, menyebut keputusan IOC itu sekaligus membekukan ambisi Indonesia untuk menjadi tuan rumah Olimpiade 2036.
""Meskipun Indonesia telah berulang kali menyatakan minatnya untuk mengajukan diri sebagai tuan rumah Olimpiade musim panas 2036, keputusan IOC secara efektif membekukan ambisi tersebut.""
""Pesan dari Lausanne sangat jelas: selama negara tuan rumah mendiskriminasi atlet atas dasar politik atau nasional, negara tersebut tidak akan memiliki tempat dalam Gerakan Olimpiade,"" tulis The Jerusalem Post.
Keputusan IOC juga mendapat respons dari Presiden Komite Olimpiade Israel, Yael Arad. Arad mengucapkan terima kasih kepada Presiden IOC Kirsty Coventry.
""Tindakan tegas ini mengirimkan pesan yang jelas terhadap perilaku tercela Indonesia. Olahraga global dibangun di atas aturan, nilai-nilai, dan komitmen mutlak terhadap kesetaraan dan fair play. Atlet Israel akan terus berdiri dengan bangga di panggung-panggung terbesar dunia, menunjukkan keunggulan dan integritas,"" ucap Arad.",https://akcdn.detik.net.id/visual/2025/10/23/markas-komite-olimpiade-internasional-ioc-1761205837274_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 14:58 WIB",CNN Indonesia
Israel Senang Indonesia Dapat Ancaman dari IOC,"Presiden Komite Olimpiade Israel Yael Arad menyambut baik keputusan IOC yang mengecam penolakan visa atlet Israel pada Kejuaraan Dunia Senam 2025 di Indonesia.
Dalam pernyataan resmi yang dirilis pada Rabu (22/10) waktu setempat, IOC mengecam keras penolakan visa atlet Israel di Kejuaraan Dunia Senam Artistik 2025 di Jakarta.
Penolakan itu dianggap sebagai pelanggaran terang-terangan terhadap prinsip Piagam Olimpiade tentang kesetaraan, non-diskriminasi, dan netralitas politik.
Menanggapi keputusan IOC, Presiden Komite Olimpiade Israel Yael Arad, menyambut baik keputusan IOC.
""Tindakan tegas ini mengirimkan pesan yang jelas terhadap perilaku tak terpuji Indonesia,"" kata Arad.
Menurut Arad, olahraga global dibangun di atas aturan, nilai-nilai, dan komitmen mutlak terhadap kesetaraan dan fair play.
Arad juga menyampaikan rasa terima kasihnya kepada Presiden IOC Kirsty Coventry atas kepemimpinannya dalam melawan upaya-upaya politisasi olahraga.
""Sikapnya yang jelas dan berprinsip dalam membela keadilan dan kesopanan dasar memperkuat fondasi olahraga internasional. Sinyal positif bahwa keadilan dan akal sehat akan menang,"" ujarnya.
IOC membuat empat keputusan atas polemik penolakan visa atlet Israel ke Indonesia. Satu di antaranya adalah melarang Indonesia bidding tuan rumah Olimpiade.",https://akcdn.detik.net.id/visual/2020/03/23/620b3c5d-bb12-4a6b-8a48-7b8b90b24595_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 14:25 WIB",CNN Indonesia
Rexy Mainaky Waspadai Indonesia di SEA Games 2025,"Direktur Kepelatihan Ganda Putra federasi bulutangkis Malaysia (BAM), Rexy Mainaky, mewaspadai Indonesia dalam SEA Games 2025 di Thailand.
Menurut Rexy kekuatan Indonesia bisa memupus asa emas Malaysia. Pada saat yang sama tuan rumah Thailand dianggap juga punya peluang besar karena tampil di dalam negeri.
""Thailand, sebagai tuan rumah, akan mengirimkan pemain terbaik mereka, itu selalu menjadi pendekatan mereka,"" kata Rexy dilansir dari media Malaysia, New Straits Times, Kamis (23/10).
""Indonesia juga bertekad untuk bangkit kembali setelah masa tenang, dan dalam beberapa turnamen terakhir, beberapa pasangan mereka telah mengalahkan kombinasi terbaik kami.""
Karena itu Rexy akan bekerja keras menyiapkan tim. Pasalnya potensi Malaysia meraup emas terletak pada nomor ganda campuran dan ganda putri, yang dibidaninya.
""Kami harus siap untuk pertarungan yang ketat. Untuk ganda campuran, peluangnya 50-50 karena Dechapol (Puavaranukroh) akan bermain di kandang sendiri,"" ucap Rexy.
""Namun di ganda putri, jika Pearly Tan/Thinaah Muralitharan tampil sebaik mungkin, mereka punya peluang besar untuk meraih emas. Target kami kali ini adalah dua medali emas.""
Sementara itu, Ketua Komite Performa BAM, Lee Chong Wei, menyebut jadwal pertandingan BWF yang sangat padat pada akhir tahun ini tak memengaruhi ambisi emas Malaysia.
Jadwal padat itu adalah Korea Masters (4-9 November), Japan Masters (11-16 November), dan World Tour Finals (17-21 Desember). Adapun SEA Games berlangsung pada 7-14 Desember.
""Para pemain terbiasa berkompetisi dengan jadwal yang ketat, dan para pelatih mengelola beban kerja mereka dengan hati-hati. SEA Games tetap menjadi prioritas bagi tim,"" katanya.",https://akcdn.detik.net.id/visual/2016/09/05/097a3dbf-74ab-48aa-bfaf-a9ba1ff61752_169.jpg?w=650&q=90,raket,"Kamis, 23 Okt 2025 13:57 WIB",CNN Indonesia
Standar Ganda IOC: Beda Israel dengan Rusia,"International Olympic Committee (IOC) menghukum Rusia lantaran menyerang Ukraina, namun tidak ada sanksi untuk Israel yang menginvasi Palestina. Belakangan malah Indonesia yang kena dampak.
Setelah enam atlet Israel tak bisa tampil di Kejuaraan Dunia Senam 2025 di Jakarta, IOC kemudian mengambil keputusan mengakhiri seluruh komunikasi dengan Komite Olimpiade (NOC) Indonesia atau KOI terkait penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade lainnya, atau konferensi di masa mendatang.
Untuk membuka kembali komunikasi terkait Olimpiade, IOC meminta Indonesia bisa memberikan jaminan yang memadai dan memberikan akses ke Indonesia bagi semua atlet tanpa memandang kewarganegaraan.
Lantaran enam atlet Israel tak bisa terjun di Kejuaraan Dunia Senam 2025, IOC juga kemudian meminta kepada seluruh federasi olahraga internasional agar tidak menggelar pertandingan atau pertemuan olahraga di Indonesia.
Keputusan IOC yang meminta Indonesia memberi akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan, menjadi dukungan bagi legitimasi Israel.
Di luar arena olahraga, Israel tak pernah luput dari pandangan dunia internasional dalam beberapa waktu terakhir karena genosida di Palestina.
Invasi atau perbuatan memasuki wilayah negara lain dengan mengerahkan angkatan bersenjata dengan maksud menyerang atau menguasai sebuah negara juga pernah dilakukan Rusia saat menyerbu Ukraina.
Berbeda dengan atlet-atlet Israel yang masih bisa berlaga, atlet-atlet Rusia dan Belarus tidak lagi bisa membela negaranya pada Olimpiade 2024 yang merupakan imbas perang Rusia-Ukraina.
Imbasnya, atlet-atlet Rusia dan Belarus yang tampil di Olimpiade 2024 berstatus sebagai atlet netral dan tidak mengusung bendera dua negara tersbut.
Hingga kini atlet dari Rusia, juga Belarus, tidak mendapat izin tampil. Bahkan dalam kualifikasi Olimpiade Musim Dingin 2026, atlet Rusia dan Belarus juga tidak diizinkan berkompetisi sebagai atlet netral.",https://akcdn.detik.net.id/visual/2023/03/16/bendera-logo-olimpiade_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 13:28 WIB",CNN Indonesia
"Visa Atlet Ditolak Indonesia, Israel Malah Bawa-bawa Isu Diskriminasi","Federasi Senam Israel (IGF) menyebut keputusan Indonesia yang membatalkan visa enam atlet senam Israel merupakan keputusan yang memilukan.
Banding IGF ke Pengadilan Arbitrase Olahraga (CAS), terkait penolakan pemerintah Indonesia memberi visa enam atlet Israel, gagal membuahkan hasil. CAS, dalam keputusan sementara yang mendesak, menolak dua banding yang diajukan IGF.
CAS menolak banding pertama terkait penolakan visa oleh pemerintah Indonesia, dengan alasan tidak memiliki yurisdiksi. Banding kedua, yang memaksa Federasi Senam Internasional (FIG) memastikan partisipasi Israel atau memindahkan Kejuaraan Dunia Senam 2025 dari Indonesia masih tertunda.
CAS juga menolak permintaan Israel yang mendesak CAS mengeluarkan keputusan sementara yang mendesak. Sekjan IGF, Sarit Shenar, mengatakan keputusan CAS merupakan pukulan bagi atlet senam Israel.
""Untuk kejuaraan dunia ini, ini adalah akhir perjalanan. Jadi, apa pun yang akan terjadi pada pesenam, kita tidak bisa, kita tidak bisa memperbaiki hati mereka,"" ucap Shenar dikutip dari Reuters.
Shenar kemudian mengatakan keputusan pemerintah Indonesia yang membatalkan visa enam atlet senam Israel tampil di Jakarta merupakan tindakan 'diskriminasi'.
""Untuk olahraga Israel di masa depan, untuk olahraga dunia di masa depan, saya ingin melihat keputusan yang sangat kuat, yang tidak memberikan ruang bagi keputusan semacam itu, baik dari negara mana pun, atau federasi internasional mana pun.""
""Saya sangat berharap CAS akan memberikan keputusan yang sangat kuat, yang akan mengintimidasi siapa saja yang memiliki ide gila untuk mendiskriminasi atlet mana pun dari negara mana pun, dengan alasan apa pun,"" ujar Shenar menambahkan.
Federasi Senam Israel mendapat dukungan dari Komite Olimpiade Indonesia [KOI]. Lewat pernyataan resmi, Rabu (22/10), IOC mengungkap empat keputusan Dewan Eksekutif IOC setelah Indonesia membatalkan visa atlet senam Israel.
Poin pertama adalah, IOC memutuskan menghentikan seluruh bentuk dialog dengan Komite Olimpiade Nasional (KOI/NOC Indonesia) mengenai rencana menjadi tuan rumah Olimpiade dan ajang-ajang olahraga internasional lainnya.
IOC juga meminta seluruh federasi olahraga internasional untuk tidak menggelar pertandingan di Indonesia menyusul keputusan pemerintah Indonesia membatalkan visa enam atlet Israel di Kejuaraan Dunia Senam 2025.
Menpora RI Erick Thohir sudah merespons keputusan IOC. Erick menegaskan pemerintah Indonesia memiliki alasan dan dasar yang kuat dalam mengambil langkah menghindari kedatangan delegasi Israel di Jakarta.
""Kami di Kemenpora, sebagai wakil Pemerintah Indonesia, berpegang pada prinsip untuk menjaga keamanan, ketertiban umum dan kepentingan publik dalam setiap penyelenggaraan event internasional,"" kata Erick dalam keterangan resmi, Selasa (23/10).
Erick kemudian mengatakan keputusan pemerintah Indonesia membatalkan visa enam atlet senam Israel dilandasi oleh ketentuan peraturan perundang-undangan yang berlaku di Indonesia. Terlebih Indonesia tidak memiliki hubungan diplomatik dengan Israel.
""Langkah ini sesuai dengan ketentuan peraturan perundang-undangan yang berlaku. Prinsip ini juga berdasarkan UUD 1945 yang menghormati keamananan dan ketertiban umum dan juga kewajiban Pemerintah Negara Indonesia untuk melaksanakan ketertiban dunia,"" ujar Erick.
""Kami memahami bahwa keputusan ini membawa konsekuensi, di mana selama Indonesia tidak dapat menerima kehadiran Israel, IOC memutuskan bahwa Indonesia tidak dapat menjadi tuan rumah kejuaraan dunia, event Olimpiade, Youth Olympic Games, dan kegiatan lain di bawah payung Olimpiade,"" ucap Erick menambahkan.",https://akcdn.detik.net.id/visual/2025/10/10/gymnastics-artistic-oly-paris-2024-1760070808778_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 12:35 WIB",CNN Indonesia
"IOC Larang Indonesia Tuan Rumah Olimpiade, Netizen Ungkit Ganefo","Netizen riuh usai Komite Olimpiade Internasional (IOC) melarang Indonesia menjadi tuan rumah Olimpiade imbas penolakan visa atlet Israel di Kejuaraan Dunia Senam Artistik 2025.
Komite Eksekutif IOC mengeluarkan empat keputusan imbas pembatalan visa atlet-atlet Israel ke Indonesia. Satu di antaranya adalah melarang Indonesia bidding tuan rumah ajang Olimpiade.
""Mengakhiri segala bentuk dialog dengan Komite Olimpiade Nasional Indonesia (NOC) mengenai penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade, atau konferensi di masa mendatang hingga pemerintah Indonesia memberikan jaminan memadai kepada IOC bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan,"" demikian keterangan resmi IOC.
Selain itu, IOC juga melarang federasi internasional untuk memberikan jatah tuan rumah kejuaraan internasional kepada Indonesia.
IOC menilai aksi Indonesia menolak atlet Israel di Kejuaraan Dunia Senam 2025 sebagai bentuk diskrimnasi yang tak sejalan dengan prinsip keolahragaan.
Empat keputusan IOC tersebut memantik reaksi beragam dari netizen. Sebagian besar mengecam keputusan IOC yang dianggap mengabaikan genosida negara Israel kepada warga Palestina.
""Kalian aib dunia. Rusia dikucilkan karena mereka membunuh warga sipil, tapi Israel membunuh siapa pun yang mereka mau. Sudah jelas siapa yang mendukung kalian. Kami, rakyat bebas, akan melakukan apa saja agar dunia melupakan Olimpiade, agar kalian tak punya uang sepeser pun. Memalukan,"" pendapat salah satu netizen.
""Memalukan kalian, IOC. Kalian tidak keberatan melarang Rusia dan Belarusia dari Olimpiade. Tapi sekarang, ketika Israel yang melakukannya, tiba-tiba kalian ingin 'memisahkan atlet dari negaranya'? Jika mereka memilih untuk mewakili negara genosida, mereka harus diperlakukan sebagaimana mestinya,"" timpal warganet lainnya.
Salah sau netizen berpendapat tak keberatan berpisah dengan IOC dan kembali menyerukan Games of New Emerging Forces (Ganefo) yang lahir di era Presiden Sukarno.
""Kami tak peduli karena kami memiliki Ganefo,"" ujar salah satu akun yang menentang IOC.
Ganefo adalah kejuaraan internasional negara berkembang yang pernah dibuat di era Presiden Sukarno untuk menandingi Olimpiade. Edisi perdana digelar di Jakarta pada 1963 dan Phnom Penh pada 1966.",https://akcdn.detik.net.id/visual/2025/06/24/kirsty-coventry-1750742347712_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 12:02 WIB",CNN Indonesia
Erick Respons Keputusan IOC Larang Indonesia Jadi Tuan Rumah,"Menpora RI Erick Thohir merespons keputusan Komite Olimpiade Internasional (IOC) yang melarang Indonesia menjadi tuan rumah ajang Olimpiade serta mendesak federasi olahraga internasional tidak menggelar pertandingan di Indonesia.
IOC dalam pernyataan resmi Rabu (22/10), membuat empat poin penting keputusan. Empat keputusan itu diambil Dewan Eksekutif IOC setelah ndonesia tidak memberikan visa kepada tim Israel yang seharusnya bertanding di Kejuaraan Dunia Senam Artistik 2025 di Jakarta.
Terkait keputusan IOC tersebut, Menpora Erick menegaskan pemerintah Indonesia memiliki alasan dan dasar yang kuat dalam mengambil langkah menghindari kedatangan delegasi Israel di Jakarta.
""Kami di Kemenpora, sebagai wakil Pemerintah Indonesia, berpegang pada prinsip untuk menjaga keamanan, ketertiban umum dan kepentingan publik dalam setiap penyelenggaraan event internasional,"" kata Erick dalam keterangan resmi, Selasa (23/10).
Lebih lanjut Erick mengatakan keputusan pemerintah Indonesia membatalkan visa enam atlet senam Israel dilandasi oleh ketentuan peraturan perundang-undangan yang berlaku di Indonesia. Terlebih Indonesia tidak memiliki hubungan diplomatik dengan Israel.
""Langkah ini sesuai dengan ketentuan peraturan perundang-undangan yang berlaku. Prinsip ini juga berdasarkan UUD 1945 yang menghormati keamanan dan ketertiban umum dan juga kewajiban Pemerintah Negara Indonesia untuk melaksanakan ketertiban dunia,"" ujar Erick.
""Kami memahami bahwa keputusan ini membawa konsekuensi, di mana selama Indonesia tidak dapat menerima kehadiran Israel, IOC memutuskan bahwa Indonesia tidak dapat menjadi tuan rumah kejuaraan dunia, event Olimpiade, Youth Olympic Games, dan kegiatan lain di bawah payung Olimpiade,"" ucap Erick menambahkan.
Terkait keputusan IOC, Erick tidak khawatir. Erick mengatakan Kemenpora dan pemerintah Indonesia tetap berkomitmen mempersiapkan blueprint pembangunan olahraga nasional dan berperan aktif di berbagai ajang olahraga internasional.
""Kemenpora dan Pemerintah tetap berkomitmen mempersiapkan blueprint pembangunan olahraga nasional, termasuk penguatan 17 cabang olahraga unggulan serta pembangunan pusat latihan tim nasional.""
""Indonesia akan terus berperan aktif dalam berbagai ajang olahraga di tingkat Asia Tenggara, Asia, maupun dunia, sehingga olahraga Indonesia dapat menjadi duta dan cerminan kedigdayaan bangsa di mata dunia,"" ucap Erick.",https://akcdn.detik.net.id/visual/2025/10/23/menpora-erick-thohir-1761193123245_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 11:19 WIB",CNN Indonesia
4 Keputusan IOC Imbas Indonesia Tolak Visa Atlet Senam Israel,"Komite Olimpiade Internasional (IOC) mengeluarkan empat keputusan imbas pembatalan visa atlet-atlet Israel dari Kejuaraan Dunia Senam Artistik 2025.
IOC dalam keterangan resmi menyatakan telah menggelar rapat secara virtual pekan ini untuk membahas keputusan Indonesia menolak kontingen Israel di Kejuaraan Dunia Senam Artistik 2025 yang berlangsung pada 19-25 Oktober.
Komite Eksekutif IOC menekankan posisi prinsip keolahragaan yang selama ini mereka anut, di mana seluruh atlet, tim, dan pengurus olahraga yang memenuhi syarat harus dapat mengambil bagian dalam kegiatan olahraga internasional tanpa bentuk diskriminasi apa pun oleh negara tuan rumah.
Hal itu sesuai dengan Piagam Olimpiade dan prinsip-prinsip dasar non-diskriminasi, otonomi, dan netralitas politik yang mengatur Gerakan Olimpiade.
Komite Eksekutif IOC memanfaatkan momentum ini untuk mengingatkan seluruh pemangku kepentingan Gerakan Olimpiade tentang pentingnya akses bebas dan tanpa hambatan ke negara-negara peserta.
Untuk menghindari situasi serupa di masa mendatang, Komite Eksekutif IOC mengeluarkan empat keputusan imbas larangan atlet Israel ke Indonesia.
1. Mengakhiri segala bentuk dialog dengan Komite Olimpiade Nasional Indonesia (NOC) mengenai penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade, atau konferensi di masa mendatang hingga pemerintah Indonesia memberikan jaminan memadai kepada IOC bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan.
2. Merekomendasikan kepada semua Federasi Internasional untuk tidak menggelar event atau pertemuan olahraga internasional apa pun di Indonesia sampai pemerintah Indonesia memberikan jaminan yang memadai kepada Federasi Internasional bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan.
3. Mengadaptasi Prinsip Kualifikasi Olimpiade, meminta Federasi Internasional untuk mencantumkan jaminan akses ke negara masing-masing bagi semua atlet dalam perjanjian penyelenggaraan mereka untuk setiap kompetisi kualifikasi Olimpiade di seluruh dunia.
4. Meminta NOC Indonesia dan Federasi Senam Internasional (FIG) untuk datang ke markas IOC di Lausanne untuk membahas situasi yang terjadi menjelang Kejuaraan Dunia Senam Artistik FIG ke-53.",https://akcdn.detik.net.id/visual/2020/03/19/67e10da8-9ac9-45fb-b72b-8f5a6cdc1f28_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 11:00 WIB",CNN Indonesia
IOC Minta Federasi Internasional Tak Gelar Pertandingan di Indonesia,"Komite Olimpiade Internasional (IOC) meminta seluruh federasi olahraga internasional untuk tidak menggelar pertandingan di Indonesia menyusul keputusan pemerintah Indonesia membatalkan visa enam atlet Israel di Kejuaraan Dunia Senam 2025.
Pernyataan itu diungkap IOC melalui situs resmi organisasi pada Senin (22/10). IOC 'merekomendasikan' kepada seluruh federasi olahraga internasional untuk tidak menggelar pertandingan di Indonesia.
""Merekomendasikan kepada semua Federasi Internasional untuk tidak menyelenggarakan ajang atau pertemuan olahraga internasional apa pun di Indonesia hingga pemerintah Indonesia memberikan jaminan yang memadai kepada Federasi Internasional bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan,"" tulis pihak IOC.
Pernyataan IOC ini diambil setelah Dewan Eksekutif IOC menggelar rapat secara daring pekan ini. Dewan Eksekutif IOC menyatakan keputusan pemerintah Indonesia yang tidak memberi visa kepada enam atlet Israel tidak sesuai dengan Piagam Olimpiade.
Dewan Eksekutif IOC mengeluarkan empat poin keputusan untuk menyikapi tidak bisa bermainnya enam atlet senam Israel di Indonesia. Salah satu poin keputusan IOC adalah memutus dialog dengan Komite Olimpiade (NOC) Indonesia atau KOI terkait peluang Indonesia menjadi tuan rumah ajang multi-cabang seperti Olimpiade.
""Mengakhiri segala bentuk dialog dengan Komite Olimpiade Indonesia [KOI] terkait penyelenggaraan Olimpiade, Olimpiade Remaja, ajang Olimpiade lainnya, atau konferensi di masa mendatang hingga pemerintah Indonesia memberikan jaminan yang memadai kepada IOC bahwa mereka akan mengizinkan akses ke Indonesia bagi semua peserta, tanpa memandang kewarganegaraan,"" tulis pihak IOC.
Dalam poin terakhir, IOC meminta bertemu dengan pihak KOI dan Federasi Senam Internasional (FIG) di Swiss untuk membahas masalah visa atlet Israel di Kejuaraan Dunia Senam 2025.
Selain itu IOC meminta semua federasi olahraga internasional untuk mencantumkan jaminan akses ke atlet dari semua negara dalam perjanjian penyelenggaraan mereka untuk setiap kompetisi kualifikasi Olimpiade di seluruh dunia.",https://akcdn.detik.net.id/visual/2020/03/23/620b3c5d-bb12-4a6b-8a48-7b8b90b24595_169.jpeg?w=650&q=90,olahraga lain,"Kamis, 23 Okt 2025 10:34 WIB",CNN Indonesia
